Source_tissue,Target_tissue,cytokine_description,cytokine_ensemlb,cytokine_genename,cytokine_uniprot,Receptor_description,Receptor_ensembl,Receptor_genename,Receptor_uniprot,reference,action_sentiment,num_papers,enrichment_score,chains
non-classical monocyte,intermediate monocyte,Tumor necrosis factor,ENSG00000232810,TNF,P01375,Lymphotoxin beta receptor,ENSG00000111321,LTBR,P36941,NA,NA,NA,NA,non-classical monocyte-->TNF-->LTBR-->intermediate monocyte
non-classical monocyte,intestine,TNF superfamily member 13,ENSG00000161955,TNFSF13,O75888,TNF receptor superfamily member 17,ENSG00000048462,TNFRSF17,Q02223,NA,NA,NA,NA,non-classical monocyte-->TNFSF13-->TNFRSF17-->intestine
non-classical monocyte,liver,TNF superfamily member 13,ENSG00000161955,TNFSF13,O75888,Syndecan 2,ENSG00000169439,SDC2,P34741,NA,NA,NA,NA,non-classical monocyte-->TNFSF13-->SDC2-->liver
non-classical monocyte,memory B-cell,TNF superfamily member 13,ENSG00000161955,TNFSF13,O75888,TNF receptor superfamily member 17,ENSG00000048462,TNFRSF17,Q02223,NA,NA,NA,NA,non-classical monocyte-->TNFSF13-->TNFRSF17-->memory B-cell
non-classical monocyte,memory B-cell,TNF superfamily member 13,ENSG00000161955,TNFSF13,O75888,TNF receptor superfamily member 13B,ENSG00000240505,TNFRSF13B,O14836,NA,NA,NA,NA,non-classical monocyte-->TNFSF13-->TNFRSF13B-->memory B-cell
non-classical monocyte,myeloid DC,C-X-C motif chemokine ligand 2,ENSG00000081041,CXCL2,P19875,X-C motif chemokine receptor 1,ENSG00000173578,XCR1,P46094,NA,NA,NA,NA,non-classical monocyte-->CXCL2-->XCR1-->myeloid DC
non-classical monocyte,myeloid DC,Tumor necrosis factor,ENSG00000232810,TNF,P01375,Lymphotoxin beta receptor,ENSG00000111321,LTBR,P36941,NA,NA,NA,NA,non-classical monocyte-->TNF-->LTBR-->myeloid DC
non-classical monocyte,naive B-cell,TNF superfamily member 13,ENSG00000161955,TNFSF13,O75888,TNF receptor superfamily member 17,ENSG00000048462,TNFRSF17,Q02223,NA,NA,NA,NA,non-classical monocyte-->TNFSF13-->TNFRSF17-->naive B-cell
non-classical monocyte,naive B-cell,TNF superfamily member 13,ENSG00000161955,TNFSF13,O75888,TNF receptor superfamily member 13B,ENSG00000240505,TNFRSF13B,O14836,NA,NA,NA,NA,non-classical monocyte-->TNFSF13-->TNFRSF13B-->naive B-cell
non-classical monocyte,naive CD4 T-cell,TNF superfamily member 10,ENSG00000121858,TNFSF10,P50591,TNF receptor superfamily member 10d,ENSG00000173530,TNFRSF10D,Q9UBN6,NA,NA,NA,NA,non-classical monocyte-->TNFSF10-->TNFRSF10D-->naive CD4 T-cell
non-classical monocyte,neutrophil,C-X-C motif chemokine ligand 2,ENSG00000081041,CXCL2,P19875,C-X-C motif chemokine receptor 1,ENSG00000163464,CXCR1,P25024,NA,NA,NA,NA,non-classical monocyte-->CXCL2-->CXCR1-->neutrophil
non-classical monocyte,neutrophil,C-X-C motif chemokine ligand 2,ENSG00000081041,CXCL2,P19875,C-X-C motif chemokine receptor 2,ENSG00000180871,CXCR2,P25025,NA,NA,NA,NA,non-classical monocyte-->CXCL2-->CXCR2-->neutrophil
non-classical monocyte,neutrophil,TNF superfamily member 10,ENSG00000121858,TNFSF10,P50591,TNF receptor superfamily member 10c,ENSG00000173535,TNFRSF10C,O14798,NA,NA,NA,NA,non-classical monocyte-->TNFSF10-->TNFRSF10C-->neutrophil
non-classical monocyte,neutrophil,Erythropoietin,ENSG00000130427,EPO,P01588,EPH receptor B4,ENSG00000196411,EPHB4,P54760,NA,NA,NA,NA,non-classical monocyte-->EPO-->EPHB4-->neutrophil
non-classical monocyte,neutrophil,TNF superfamily member 13,ENSG00000161955,TNFSF13,O75888,Syndecan 2,ENSG00000169439,SDC2,P34741,NA,NA,NA,NA,non-classical monocyte-->TNFSF13-->SDC2-->neutrophil
non-classical monocyte,neutrophil,C-X-C motif chemokine ligand 3,ENSG00000163734,CXCL3,P19876,C-X-C motif chemokine receptor 1,ENSG00000163464,CXCR1,P25024,NA,NA,NA,NA,non-classical monocyte-->CXCL3-->CXCR1-->neutrophil
non-classical monocyte,neutrophil,C-X-C motif chemokine ligand 3,ENSG00000163734,CXCL3,P19876,C-X-C motif chemokine receptor 2,ENSG00000180871,CXCR2,P25025,NA,NA,NA,NA,non-classical monocyte-->CXCL3-->CXCR2-->neutrophil
non-classical monocyte,neutrophil,Tumor necrosis factor,ENSG00000232810,TNF,P01375,TNF receptor superfamily member 1A,ENSG00000067182,TNFRSF1A,P19438,NA,NA,NA,NA,non-classical monocyte-->TNF-->TNFRSF1A-->neutrophil
non-classical monocyte,neutrophil,Tumor necrosis factor,ENSG00000232810,TNF,P01375,Lymphotoxin beta receptor,ENSG00000111321,LTBR,P36941,NA,NA,NA,NA,non-classical monocyte-->TNF-->LTBR-->neutrophil
non-classical monocyte,NK-cell,TNF superfamily member 18,ENSG00000120337,TNFSF18,Q9UNG2,TNF receptor superfamily member 18,ENSG00000186891,TNFRSF18,Q9Y5U5,NA,NA,NA,NA,non-classical monocyte-->TNFSF18-->TNFRSF18-->NK-cell
non-classical monocyte,plasmacytoid DC,C-X-C motif chemokine ligand 9,ENSG00000138755,CXCL9,Q07325,C-X-C motif chemokine receptor 3,ENSG00000186810,CXCR3,P49682,NA,NA,NA,NA,non-classical monocyte-->CXCL9-->CXCR3-->plasmacytoid DC
non-classical monocyte,plasmacytoid DC,C-X-C motif chemokine ligand 10,ENSG00000169245,CXCL10,P02778,C-X-C motif chemokine receptor 3,ENSG00000186810,CXCR3,P49682,NA,NA,NA,NA,non-classical monocyte-->CXCL10-->CXCR3-->plasmacytoid DC
non-classical monocyte,plasmacytoid DC,Tumor necrosis factor,ENSG00000232810,TNF,P01375,TNF receptor superfamily member 21,ENSG00000146072,TNFRSF21,O75509,NA,NA,NA,NA,non-classical monocyte-->TNF-->TNFRSF21-->plasmacytoid DC
non-classical monocyte,skeletal muscle,TNF superfamily member 13,ENSG00000161955,TNFSF13,O75888,TNF receptor superfamily member 13B,ENSG00000240505,TNFRSF13B,O14836,NA,NA,NA,NA,non-classical monocyte-->TNFSF13-->TNFRSF13B-->skeletal muscle
non-classical monocyte,skin 1,TNF superfamily member 18,ENSG00000120337,TNFSF18,Q9UNG2,TNF receptor superfamily member 18,ENSG00000186891,TNFRSF18,Q9Y5U5,NA,NA,NA,NA,non-classical monocyte-->TNFSF18-->TNFRSF18-->skin 1
non-classical monocyte,thyroid gland,TNF superfamily member 13,ENSG00000161955,TNFSF13,O75888,Syndecan 2,ENSG00000169439,SDC2,P34741,NA,NA,NA,NA,non-classical monocyte-->TNFSF13-->SDC2-->thyroid gland
ovary,basophil,C-C motif chemokine ligand 26,ENSG00000006606,CCL26,Q9Y258,C-C motif chemokine receptor 2,ENSG00000121807,CCR2,P41597,NA,NA,NA,NA,ovary-->CCL26-->CCR2-->basophil
ovary,basophil,C-C motif chemokine ligand 26,ENSG00000006606,CCL26,Q9Y258,C-C motif chemokine receptor 3,ENSG00000183625,CCR3,P51677,NA,NA,NA,NA,ovary-->CCL26-->CCR3-->basophil
ovary,brain,C-C motif chemokine ligand 26,ENSG00000006606,CCL26,Q9Y258,C-X3-C motif chemokine receptor 1,ENSG00000168329,CX3CR1,P49238,NA,NA,NA,NA,ovary-->CCL26-->CX3CR1-->brain
ovary,eosinophil,C-C motif chemokine ligand 26,ENSG00000006606,CCL26,Q9Y258,C-C motif chemokine receptor 3,ENSG00000183625,CCR3,P51677,NA,NA,NA,NA,ovary-->CCL26-->CCR3-->eosinophil
ovary,MAIT T-cell,C-C motif chemokine ligand 26,ENSG00000006606,CCL26,Q9Y258,C-C motif chemokine receptor 5 (gene/pseudogene),ENSG00000160791,CCR5,P51681,NA,NA,NA,NA,ovary-->CCL26-->CCR5-->MAIT T-cell
ovary,non-classical monocyte,C-C motif chemokine ligand 26,ENSG00000006606,CCL26,Q9Y258,C-X3-C motif chemokine receptor 1,ENSG00000168329,CX3CR1,P49238,NA,NA,NA,NA,ovary-->CCL26-->CX3CR1-->non-classical monocyte
pancreas,basophil,Colony stimulating factor 2,ENSG00000164400,CSF2,P04141,Colony stimulating factor 2 receptor beta common subunit,ENSG00000100368,CSF2RB,P32927,NA,NA,NA,NA,pancreas-->CSF2-->CSF2RB-->basophil
pancreas,basophil,Colony stimulating factor 2,ENSG00000164400,CSF2,P04141,Interleukin 3 receptor subunit alpha,ENSG00000185291,IL3RA,P26951,NA,NA,NA,NA,pancreas-->CSF2-->IL3RA-->basophil
pancreas,breast,Colony stimulating factor 2,ENSG00000164400,CSF2,P04141,Interleukin 3 receptor subunit alpha,ENSG00000185291,IL3RA,P26951,NA,NA,NA,NA,pancreas-->CSF2-->IL3RA-->breast
pancreas,classical monocyte,Colony stimulating factor 2,ENSG00000164400,CSF2,P04141,Colony stimulating factor 2 receptor alpha subunit,ENSG00000198223,CSF2RA,P15509,NA,NA,NA,NA,pancreas-->CSF2-->CSF2RA-->classical monocyte
pancreas,eosinophil,Colony stimulating factor 2,ENSG00000164400,CSF2,P04141,Colony stimulating factor 2 receptor alpha subunit,ENSG00000198223,CSF2RA,P15509,NA,NA,NA,NA,pancreas-->CSF2-->CSF2RA-->eosinophil
pancreas,esophagus,Epidermal growth factor,ENSG00000138798,EGF,P01133,EPH receptor A2,ENSG00000142627,EPHA2,P29317,NA,NA,NA,NA,pancreas-->EGF-->EPHA2-->esophagus
pancreas,gdT-cell,Epidermal growth factor,ENSG00000138798,EGF,P01133,Erb-b2 receptor tyrosine kinase 2,ENSG00000141736,ERBB2,P04626,NA,NA,NA,NA,pancreas-->EGF-->ERBB2-->gdT-cell
pancreas,intermediate monocyte,Colony stimulating factor 2,ENSG00000164400,CSF2,P04141,Colony stimulating factor 2 receptor alpha subunit,ENSG00000198223,CSF2RA,P15509,NA,NA,NA,NA,pancreas-->CSF2-->CSF2RA-->intermediate monocyte
pancreas,liver,Colony stimulating factor 2,ENSG00000164400,CSF2,P04141,Syndecan 2,ENSG00000169439,SDC2,P34741,NA,NA,NA,NA,pancreas-->CSF2-->SDC2-->liver
pancreas,myeloid DC,Colony stimulating factor 2,ENSG00000164400,CSF2,P04141,Colony stimulating factor 2 receptor alpha subunit,ENSG00000198223,CSF2RA,P15509,NA,NA,NA,NA,pancreas-->CSF2-->CSF2RA-->myeloid DC
pancreas,neutrophil,Colony stimulating factor 2,ENSG00000164400,CSF2,P04141,Colony stimulating factor 2 receptor beta common subunit,ENSG00000100368,CSF2RB,P32927,NA,NA,NA,NA,pancreas-->CSF2-->CSF2RB-->neutrophil
pancreas,neutrophil,Colony stimulating factor 2,ENSG00000164400,CSF2,P04141,Syndecan 2,ENSG00000169439,SDC2,P34741,NA,NA,NA,NA,pancreas-->CSF2-->SDC2-->neutrophil
pancreas,neutrophil,Colony stimulating factor 2,ENSG00000164400,CSF2,P04141,Colony stimulating factor 2 receptor alpha subunit,ENSG00000198223,CSF2RA,P15509,NA,NA,NA,NA,pancreas-->CSF2-->CSF2RA-->neutrophil
pancreas,NK-cell,Epidermal growth factor,ENSG00000138798,EGF,P01133,AXL receptor tyrosine kinase,ENSG00000167601,AXL,P30530,NA,NA,NA,NA,pancreas-->EGF-->AXL-->NK-cell
pancreas,placenta,Colony stimulating factor 2,ENSG00000164400,CSF2,P04141,Colony stimulating factor 2 receptor beta common subunit,ENSG00000100368,CSF2RB,P32927,NA,NA,NA,NA,pancreas-->CSF2-->CSF2RB-->placenta
pancreas,placenta,Colony stimulating factor 2,ENSG00000164400,CSF2,P04141,Colony stimulating factor 2 receptor alpha subunit,ENSG00000198223,CSF2RA,P15509,NA,NA,NA,NA,pancreas-->CSF2-->CSF2RA-->placenta
pancreas,plasmacytoid DC,Epidermal growth factor,ENSG00000138798,EGF,P01133,EPH receptor A2,ENSG00000142627,EPHA2,P29317,NA,NA,NA,NA,pancreas-->EGF-->EPHA2-->plasmacytoid DC
pancreas,plasmacytoid DC,Epidermal growth factor,ENSG00000138798,EGF,P01133,AXL receptor tyrosine kinase,ENSG00000167601,AXL,P30530,NA,NA,NA,NA,pancreas-->EGF-->AXL-->plasmacytoid DC
pancreas,plasmacytoid DC,Colony stimulating factor 2,ENSG00000164400,CSF2,P04141,Interleukin 3 receptor subunit alpha,ENSG00000185291,IL3RA,P26951,NA,NA,NA,NA,pancreas-->CSF2-->IL3RA-->plasmacytoid DC
pancreas,plasmacytoid DC,Colony stimulating factor 2,ENSG00000164400,CSF2,P04141,Colony stimulating factor 2 receptor alpha subunit,ENSG00000198223,CSF2RA,P15509,NA,NA,NA,NA,pancreas-->CSF2-->CSF2RA-->plasmacytoid DC
pancreas,plasmacytoid DC,Interferon lambda 2,ENSG00000183709,IFNL2,Q8IZJ0,Interferon lambda receptor 1,ENSG00000185436,IFNLR1,Q8IU57,NA,NA,NA,NA,pancreas-->IFNL2-->IFNLR1-->plasmacytoid DC
pancreas,thyroid gland,Colony stimulating factor 2,ENSG00000164400,CSF2,P04141,Syndecan 2,ENSG00000169439,SDC2,P34741,NA,NA,NA,NA,pancreas-->CSF2-->SDC2-->thyroid gland
placenta,adipose tissue,C-C motif chemokine ligand 8,ENSG00000108700,CCL8,P80075,Atypical chemokine receptor 1 (Duffy blood group),ENSG00000213088,ACKR1,Q16570,NA,NA,NA,NA,placenta-->CCL8-->ACKR1-->adipose tissue
placenta,adipose tissue,Growth differentiation factor 15,ENSG00000130513,GDF15,Q99988,GDNF family receptor alpha like,ENSG00000187871,GFRAL,Q6UXV0,NA,NA,NA,NA,placenta-->GDF15-->GFRAL-->adipose tissue
placenta,basophil,C-C motif chemokine ligand 8,ENSG00000108700,CCL8,P80075,C-C motif chemokine receptor 2,ENSG00000121807,CCR2,P41597,NA,NA,NA,NA,placenta-->CCL8-->CCR2-->basophil
placenta,basophil,C-C motif chemokine ligand 8,ENSG00000108700,CCL8,P80075,Atypical chemokine receptor 4,ENSG00000129048,ACKR4,Q9NPB9,NA,NA,NA,NA,placenta-->CCL8-->ACKR4-->basophil
placenta,basophil,C-C motif chemokine ligand 8,ENSG00000108700,CCL8,P80075,C-C motif chemokine receptor 3,ENSG00000183625,CCR3,P51677,NA,NA,NA,NA,placenta-->CCL8-->CCR3-->basophil
placenta,basophil,Secreted phosphoprotein 1,ENSG00000118785,SPP1,P10451,Integrin subunit alpha V,ENSG00000138448,ITGAV,P06756,NA,NA,NA,NA,placenta-->SPP1-->ITGAV-->basophil
placenta,basophil,Secreted phosphoprotein 1,ENSG00000118785,SPP1,P10451,Integrin subunit alpha 9,ENSG00000144668,ITGA9,Q13797,NA,NA,NA,NA,placenta-->SPP1-->ITGA9-->basophil
placenta,basophil,Secreted phosphoprotein 1,ENSG00000118785,SPP1,P10451,Integrin subunit beta 3,ENSG00000259207,ITGB3,P05106,NA,NA,NA,NA,placenta-->SPP1-->ITGB3-->basophil
placenta,eosinophil,C-C motif chemokine ligand 8,ENSG00000108700,CCL8,P80075,Atypical chemokine receptor 2,ENSG00000144648,ACKR2,O00590,NA,NA,NA,NA,placenta-->CCL8-->ACKR2-->eosinophil
placenta,eosinophil,C-C motif chemokine ligand 8,ENSG00000108700,CCL8,P80075,C-C motif chemokine receptor 3,ENSG00000183625,CCR3,P51677,NA,NA,NA,NA,placenta-->CCL8-->CCR3-->eosinophil
placenta,esophagus,Hepatocyte growth factor,ENSG00000019991,HGF,P14210,EPH receptor A2,ENSG00000142627,EPHA2,P29317,NA,NA,NA,NA,placenta-->HGF-->EPHA2-->esophagus
placenta,gallbladder,Hepatocyte growth factor,ENSG00000019991,HGF,P14210,Macrophage stimulating 1 receptor,ENSG00000164078,MST1R,Q04912,NA,NA,NA,NA,placenta-->HGF-->MST1R-->gallbladder
placenta,gallbladder,Transmembrane serine protease 13,ENSG00000137747,TMPRSS13,Q9BYE2,Macrophage stimulating 1 receptor,ENSG00000164078,MST1R,Q04912,NA,NA,NA,NA,placenta-->TMPRSS13-->MST1R-->gallbladder
placenta,gdT-cell,Secreted phosphoprotein 1,ENSG00000118785,SPP1,P10451,Integrin subunit beta 5,ENSG00000082781,ITGB5,P18084,NA,NA,NA,NA,placenta-->SPP1-->ITGB5-->gdT-cell
placenta,intestine,Hepatocyte growth factor,ENSG00000019991,HGF,P14210,Macrophage stimulating 1 receptor,ENSG00000164078,MST1R,Q04912,NA,NA,NA,NA,placenta-->HGF-->MST1R-->intestine
placenta,intestine,C-C motif chemokine ligand 8,ENSG00000108700,CCL8,P80075,Atypical chemokine receptor 4,ENSG00000129048,ACKR4,Q9NPB9,NA,NA,NA,NA,placenta-->CCL8-->ACKR4-->intestine
placenta,intestine,Transmembrane serine protease 13,ENSG00000137747,TMPRSS13,Q9BYE2,Macrophage stimulating 1 receptor,ENSG00000164078,MST1R,Q04912,NA,NA,NA,NA,placenta-->TMPRSS13-->MST1R-->intestine
placenta,liver,Hepatocyte growth factor,ENSG00000019991,HGF,P14210,Syndecan 2,ENSG00000169439,SDC2,P34741,NA,NA,NA,NA,placenta-->HGF-->SDC2-->liver
placenta,liver,Growth differentiation factor 15,ENSG00000130513,GDF15,Q99988,GDNF family receptor alpha like,ENSG00000187871,GFRAL,Q6UXV0,NA,NA,NA,NA,placenta-->GDF15-->GFRAL-->liver
placenta,MAIT T-cell,Hepatocyte growth factor,ENSG00000019991,HGF,P14210,Macrophage stimulating 1 receptor,ENSG00000164078,MST1R,Q04912,NA,NA,NA,NA,placenta-->HGF-->MST1R-->MAIT T-cell
placenta,MAIT T-cell,C-C motif chemokine ligand 8,ENSG00000108700,CCL8,P80075,C-C motif chemokine receptor 5 (gene/pseudogene),ENSG00000160791,CCR5,P51681,NA,NA,NA,NA,placenta-->CCL8-->CCR5-->MAIT T-cell
placenta,MAIT T-cell,Transmembrane serine protease 13,ENSG00000137747,TMPRSS13,Q9BYE2,Macrophage stimulating 1 receptor,ENSG00000164078,MST1R,Q04912,NA,NA,NA,NA,placenta-->TMPRSS13-->MST1R-->MAIT T-cell
placenta,neutrophil,Hepatocyte growth factor,ENSG00000019991,HGF,P14210,Syndecan 2,ENSG00000169439,SDC2,P34741,NA,NA,NA,NA,placenta-->HGF-->SDC2-->neutrophil
placenta,neutrophil,Secreted phosphoprotein 1,ENSG00000118785,SPP1,P10451,Integrin subunit alpha 5,ENSG00000161638,ITGA5,P08648,NA,NA,NA,NA,placenta-->SPP1-->ITGA5-->neutrophil
placenta,neutrophil,Secreted phosphoprotein 1,ENSG00000118785,SPP1,P10451,Integrin subunit beta 3,ENSG00000259207,ITGB3,P05106,NA,NA,NA,NA,placenta-->SPP1-->ITGB3-->neutrophil
placenta,neutrophil,Growth differentiation factor 15,ENSG00000130513,GDF15,Q99988,GDNF family receptor alpha like,ENSG00000187871,GFRAL,Q6UXV0,NA,NA,NA,NA,placenta-->GDF15-->GFRAL-->neutrophil
placenta,NK-cell,Hepatocyte growth factor,ENSG00000019991,HGF,P14210,AXL receptor tyrosine kinase,ENSG00000167601,AXL,P30530,NA,NA,NA,NA,placenta-->HGF-->AXL-->NK-cell
placenta,NK-cell,C-C motif chemokine ligand 8,ENSG00000108700,CCL8,P80075,Atypical chemokine receptor 2,ENSG00000144648,ACKR2,O00590,NA,NA,NA,NA,placenta-->CCL8-->ACKR2-->NK-cell
placenta,pancreas,Hepatocyte growth factor,ENSG00000019991,HGF,P14210,Insulin receptor,ENSG00000171105,INSR,P06213,NA,NA,NA,NA,placenta-->HGF-->INSR-->pancreas
placenta,plasmacytoid DC,Hepatocyte growth factor,ENSG00000019991,HGF,P14210,EPH receptor A2,ENSG00000142627,EPHA2,P29317,NA,NA,NA,NA,placenta-->HGF-->EPHA2-->plasmacytoid DC
placenta,plasmacytoid DC,Hepatocyte growth factor,ENSG00000019991,HGF,P14210,AXL receptor tyrosine kinase,ENSG00000167601,AXL,P30530,NA,NA,NA,NA,placenta-->HGF-->AXL-->plasmacytoid DC
placenta,salivary gland,C-C motif chemokine ligand 8,ENSG00000108700,CCL8,P80075,Atypical chemokine receptor 4,ENSG00000129048,ACKR4,Q9NPB9,NA,NA,NA,NA,placenta-->CCL8-->ACKR4-->salivary gland
placenta,salivary gland,C-C motif chemokine ligand 8,ENSG00000108700,CCL8,P80075,Atypical chemokine receptor 2,ENSG00000144648,ACKR2,O00590,NA,NA,NA,NA,placenta-->CCL8-->ACKR2-->salivary gland
placenta,skin 1,Hepatocyte growth factor,ENSG00000019991,HGF,P14210,Macrophage stimulating 1 receptor,ENSG00000164078,MST1R,Q04912,NA,NA,NA,NA,placenta-->HGF-->MST1R-->skin 1
placenta,skin 1,Transmembrane serine protease 13,ENSG00000137747,TMPRSS13,Q9BYE2,Macrophage stimulating 1 receptor,ENSG00000164078,MST1R,Q04912,NA,NA,NA,NA,placenta-->TMPRSS13-->MST1R-->skin 1
placenta,thyroid gland,Hepatocyte growth factor,ENSG00000019991,HGF,P14210,Syndecan 2,ENSG00000169439,SDC2,P34741,NA,NA,NA,NA,placenta-->HGF-->SDC2-->thyroid gland
placenta,thyroid gland,Secreted phosphoprotein 1,ENSG00000118785,SPP1,P10451,Integrin subunit beta 3,ENSG00000259207,ITGB3,P05106,NA,NA,NA,NA,placenta-->SPP1-->ITGB3-->thyroid gland
plasmacytoid DC,intestine,TNF superfamily member 13,ENSG00000161955,TNFSF13,O75888,TNF receptor superfamily member 17,ENSG00000048462,TNFRSF17,Q02223,NA,NA,NA,NA,plasmacytoid DC-->TNFSF13-->TNFRSF17-->intestine
plasmacytoid DC,liver,TNF superfamily member 13,ENSG00000161955,TNFSF13,O75888,Syndecan 2,ENSG00000169439,SDC2,P34741,NA,NA,NA,NA,plasmacytoid DC-->TNFSF13-->SDC2-->liver
plasmacytoid DC,memory B-cell,TNF superfamily member 13,ENSG00000161955,TNFSF13,O75888,TNF receptor superfamily member 17,ENSG00000048462,TNFRSF17,Q02223,NA,NA,NA,NA,plasmacytoid DC-->TNFSF13-->TNFRSF17-->memory B-cell
plasmacytoid DC,memory B-cell,TNF superfamily member 13,ENSG00000161955,TNFSF13,O75888,TNF receptor superfamily member 13B,ENSG00000240505,TNFRSF13B,O14836,NA,NA,NA,NA,plasmacytoid DC-->TNFSF13-->TNFRSF13B-->memory B-cell
plasmacytoid DC,naive B-cell,TNF superfamily member 13,ENSG00000161955,TNFSF13,O75888,TNF receptor superfamily member 17,ENSG00000048462,TNFRSF17,Q02223,NA,NA,NA,NA,plasmacytoid DC-->TNFSF13-->TNFRSF17-->naive B-cell
plasmacytoid DC,naive B-cell,TNF superfamily member 13,ENSG00000161955,TNFSF13,O75888,TNF receptor superfamily member 13B,ENSG00000240505,TNFRSF13B,O14836,NA,NA,NA,NA,plasmacytoid DC-->TNFSF13-->TNFRSF13B-->naive B-cell
plasmacytoid DC,neutrophil,TNF superfamily member 13,ENSG00000161955,TNFSF13,O75888,Syndecan 2,ENSG00000169439,SDC2,P34741,NA,NA,NA,NA,plasmacytoid DC-->TNFSF13-->SDC2-->neutrophil
plasmacytoid DC,skeletal muscle,TNF superfamily member 13,ENSG00000161955,TNFSF13,O75888,TNF receptor superfamily member 13B,ENSG00000240505,TNFRSF13B,O14836,NA,NA,NA,NA,plasmacytoid DC-->TNFSF13-->TNFRSF13B-->skeletal muscle
plasmacytoid DC,thyroid gland,TNF superfamily member 13,ENSG00000161955,TNFSF13,O75888,Syndecan 2,ENSG00000169439,SDC2,P34741,NA,NA,NA,NA,plasmacytoid DC-->TNFSF13-->SDC2-->thyroid gland
prostate,basophil,C-X-C motif chemokine ligand 10,ENSG00000169245,CXCL10,P02778,C-C motif chemokine receptor 3,ENSG00000183625,CCR3,P51677,NA,NA,NA,NA,prostate-->CXCL10-->CCR3-->basophil
prostate,eosinophil,C-X-C motif chemokine ligand 10,ENSG00000169245,CXCL10,P02778,C-C motif chemokine receptor 3,ENSG00000183625,CCR3,P51677,NA,NA,NA,NA,prostate-->CXCL10-->CCR3-->eosinophil
prostate,plasmacytoid DC,C-X-C motif chemokine ligand 10,ENSG00000169245,CXCL10,P02778,C-X-C motif chemokine receptor 3,ENSG00000186810,CXCR3,P49682,NA,NA,NA,NA,prostate-->CXCL10-->CXCR3-->plasmacytoid DC
retina,basophil,C-C motif chemokine ligand 26,ENSG00000006606,CCL26,Q9Y258,C-C motif chemokine receptor 2,ENSG00000121807,CCR2,P41597,NA,NA,NA,NA,retina-->CCL26-->CCR2-->basophil
retina,basophil,C-C motif chemokine ligand 26,ENSG00000006606,CCL26,Q9Y258,C-C motif chemokine receptor 3,ENSG00000183625,CCR3,P51677,NA,NA,NA,NA,retina-->CCL26-->CCR3-->basophil
retina,brain,C-C motif chemokine ligand 26,ENSG00000006606,CCL26,Q9Y258,C-X3-C motif chemokine receptor 1,ENSG00000168329,CX3CR1,P49238,NA,NA,NA,NA,retina-->CCL26-->CX3CR1-->brain
retina,eosinophil,C-C motif chemokine ligand 26,ENSG00000006606,CCL26,Q9Y258,C-C motif chemokine receptor 3,ENSG00000183625,CCR3,P51677,NA,NA,NA,NA,retina-->CCL26-->CCR3-->eosinophil
retina,MAIT T-cell,C-C motif chemokine ligand 26,ENSG00000006606,CCL26,Q9Y258,C-C motif chemokine receptor 5 (gene/pseudogene),ENSG00000160791,CCR5,P51681,NA,NA,NA,NA,retina-->CCL26-->CCR5-->MAIT T-cell
retina,non-classical monocyte,C-C motif chemokine ligand 26,ENSG00000006606,CCL26,Q9Y258,C-X3-C motif chemokine receptor 1,ENSG00000168329,CX3CR1,P49238,NA,NA,NA,NA,retina-->CCL26-->CX3CR1-->non-classical monocyte
salivary gland,adipose tissue,C-X-C motif chemokine ligand 5,ENSG00000163735,CXCL5,P42830,Atypical chemokine receptor 1 (Duffy blood group),ENSG00000213088,ACKR1,Q16570,NA,NA,NA,NA,salivary gland-->CXCL5-->ACKR1-->adipose tissue
salivary gland,basophil,C-C motif chemokine ligand 28,ENSG00000151882,CCL28,Q9NRJ3,C-C motif chemokine receptor 3,ENSG00000183625,CCR3,P51677,NA,NA,NA,NA,salivary gland-->CCL28-->CCR3-->basophil
salivary gland,eosinophil,C-C motif chemokine ligand 28,ENSG00000151882,CCL28,Q9NRJ3,Atypical chemokine receptor 2,ENSG00000144648,ACKR2,O00590,NA,NA,NA,NA,salivary gland-->CCL28-->ACKR2-->eosinophil
salivary gland,eosinophil,C-C motif chemokine ligand 28,ENSG00000151882,CCL28,Q9NRJ3,C-C motif chemokine receptor 3,ENSG00000183625,CCR3,P51677,NA,NA,NA,NA,salivary gland-->CCL28-->CCR3-->eosinophil
salivary gland,esophagus,Interleukin 19,ENSG00000142224,IL19,Q9UHD0,Interleukin 20 receptor subunit beta,ENSG00000174564,IL20RB,Q6UXL0,NA,NA,NA,NA,salivary gland-->IL19-->IL20RB-->esophagus
salivary gland,gallbladder,Transmembrane serine protease 13,ENSG00000137747,TMPRSS13,Q9BYE2,Macrophage stimulating 1 receptor,ENSG00000164078,MST1R,Q04912,NA,NA,NA,NA,salivary gland-->TMPRSS13-->MST1R-->gallbladder
salivary gland,intestine,Transmembrane serine protease 13,ENSG00000137747,TMPRSS13,Q9BYE2,Macrophage stimulating 1 receptor,ENSG00000164078,MST1R,Q04912,NA,NA,NA,NA,salivary gland-->TMPRSS13-->MST1R-->intestine
salivary gland,intestine,TNF superfamily member 13,ENSG00000161955,TNFSF13,O75888,TNF receptor superfamily member 17,ENSG00000048462,TNFRSF17,Q02223,NA,NA,NA,NA,salivary gland-->TNFSF13-->TNFRSF17-->intestine
salivary gland,liver,TNF superfamily member 13,ENSG00000161955,TNFSF13,O75888,Syndecan 2,ENSG00000169439,SDC2,P34741,NA,NA,NA,NA,salivary gland-->TNFSF13-->SDC2-->liver
